indicador,valor,unidad,formula,fuente,estado,observacion
gallinas_iniciales,150,aves,dato declarado,dato declarado por Nacho / cálculo P0,confirmado,dato base confirmado
gallinas_actuales,148,aves,dato declarado,dato declarado por Nacho / cálculo P0,confirmado,dato base confirmado
muertes,2,aves,dato declarado,dato declarado por Nacho / cálculo P0,confirmado,dato base confirmado
produccion_promedio_huevos_dia,132,huevos/día,dato declarado,dato declarado por Nacho / cálculo P0,confirmado,dato base confirmado
produccion_minima_huevos_dia,120,huevos/día,dato declarado,dato declarado por Nacho / cálculo P0,confirmado,dato base confirmado
produccion_maxima_huevos_dia,142,huevos/día,dato declarado,dato declarado por Nacho / cálculo P0,confirmado,dato base confirmado
superficie_gallinero_m2,27,m2,dato declarado,dato declarado por Nacho / cálculo P0,confirmado,dato base confirmado
consumo_agua_litros_dia,34,litros/día,dato declarado,dato declarado por Nacho / cálculo P0,confirmado,dato base confirmado
postura_promedio_porcentaje,89.2,%,132 / 148 * 100,dato declarado por Nacho / cálculo P0,confirmado,porcentaje redondeado a 1 decimal
postura_minima_porcentaje,81.1,%,120 / 148 * 100,dato declarado por Nacho / cálculo P0,confirmado,porcentaje redondeado a 1 decimal
postura_maxima_porcentaje,95.9,%,142 / 148 * 100,dato declarado por Nacho / cálculo P0,confirmado,porcentaje redondeado a 1 decimal
mortalidad_acumulada_porcentaje,1.3,%,2 / 150 * 100,dato declarado por Nacho / cálculo P0,confirmado,porcentaje redondeado a 1 decimal
densidad_actual_aves_m2,5.48,aves/m2,148 / 27,dato declarado por Nacho / cálculo P0,confirmado,valor redondeado a 2 decimales
agua_litros_ave_dia,0.23,litros/ave/día,34 / 148,dato declarado por Nacho / cálculo P0,confirmado,valor redondeado a 2 decimales
